record_id,record_type,members_or_relation,value_m,evidence,status,note
ROW-T0,ROW,"c-a-17-9-1",,"TAV-02S native HiRes + user letter identification + written top chain",DOC_TOPOLOGY,"upper terrace/main row; do not confuse a/c ordering with superseded files"
ROW-T1,ROW,"d-b-18-10-2",4.70,"TAV-02S native HiRes; written 4.70 between first two rows",DOC_TOPOLOGY,"second terrace/main row"
CHAIN-T0-1,TRANSVERSE_CHAIN,"c-a",3.45,"TAV-02S written dimension",DOC_QUOTED,"upper terrace pair"
CHAIN-T0-2,TRANSVERSE_CHAIN,"a-17",3.45,"TAV-02S written dimension",DOC_QUOTED,"terrace to original pillar 17"
CHAIN-T0-3,TRANSVERSE_CHAIN,"17-9",5.50,"TAV-02S written dimension",DOC_QUOTED,"main top chain"
CHAIN-T0-4,TRANSVERSE_CHAIN,"9-1",5.60,"TAV-02S written dimension",DOC_QUOTED,"main top chain"
CHAIN-TERR-V1,LONGITUDINAL_CHAIN,"c-d",4.70,"TAV-02S native HiRes + row spacing",DOC_QUOTED,"lettered terrace pillars"
CHAIN-TERR-V2,LONGITUDINAL_CHAIN,"a-b",4.70,"TAV-02S native HiRes + row spacing",DOC_QUOTED,"lettered terrace pillars"
ROW-L1,ROW,"31-28-25-19",,"TAV-02S native HiRes tile R02/R03; identifiers and common structural reference visible",DOC_HIRES_ROW,"restores row incorrectly invalidated by intermediate derived datasets"
ROW-L2,ROW,"32-29-26-21",,"TAV-02S native HiRes tile R03C01; identifiers and common structural reference visible",DOC_HIRES_ROW,"left wing stepped mesh"
ROW-L3,ROW,"33-30-27-22",,"TAV-02S native HiRes tile R03C01; identifiers and common structural reference visible",DOC_HIRES_ROW,"left wing stepped mesh"
CHAIN-L-X1,TRANSVERSE_CHAIN,"31-28;32-29;33-30",4.70,"TAV-02S lower-left written chain + HiRes row verification",DOC_QUOTED,"same transverse spacing applied only to visually verified corresponding rows"
CHAIN-L-X2,TRANSVERSE_CHAIN,"28-25;29-26;30-27",3.45,"TAV-02S lower-left written chain + HiRes row verification",DOC_QUOTED,"same transverse spacing applied only to visually verified corresponding rows"
CHAIN-L-X3,TRANSVERSE_CHAIN,"25-19;26-21;27-22",2.10,"TAV-02S lower-left written chain + HiRes row verification",DOC_QUOTED,"same transverse spacing applied only to visually verified corresponding rows"
CHAIN-L-Y1,LONGITUDINAL_CHAIN,"31-32",6.25,"TAV-02S written left external dimension",DOC_QUOTED,"direct dimension on source"
CHAIN-L-Y2,LONGITUDINAL_CHAIN,"32-33",4.95,"TAV-02S written left external dimension",DOC_QUOTED,"direct dimension on source"
P19-BIND,NODE_BINDING,"18-19",4.05,"TAV-02S native HiRes + documented left-wing chain",DOC_QUOTED,"P19 ordinate follows direct dimension from P18; direct quote prevails over apparent row extensions to right wing"
P13-BIND,NODE_BINDING,"13-14",2.90,"TAV-02S native HiRes direct spacing",DOC_QUOTED,"P13 retained as direct quoted closure"
LOW-R1,ROW,"23-15-7",,"TAV-02S native HiRes lower sector + bottom chain",DOC_TOPOLOGY,"lower cross-row"
LOW-R2,ROW,"24-16-8",,"TAV-02S native HiRes lower sector + bottom chain",DOC_TOPOLOGY,"lower cross-row"
LOW-X1,TRANSVERSE_CHAIN,"23-15;24-16",6.45,"TAV-02S written bottom-right chain",DOC_QUOTED,"lower sector"
LOW-X2,TRANSVERSE_CHAIN,"15-7;16-8",4.65,"TAV-02S written bottom-right chain",DOC_QUOTED,"lower sector"
P22P-ID,ADDITIONAL_PILLAR,"22' distinct from 22",,"TAV-02S native HiRes R03C01; both symbols separately visible; both written 50x40",DOC_DIRECT_ID_SECTION,"metric binding remains open; do not merge with 22"
P30-SEC,PILLAR_SECTION,"30",0.30x1.10,"TAV-02S native HiRes R03C01",DOC_DIRECT_SECTION,"long support; preserve faces and fixed lines, not point-only representation"
P23-SEC,PILLAR_SECTION,"23",1.10x0.30,"TAV-02S native HiRes R04C01",DOC_DIRECT_SECTION,"orientation preserved; support faces required for beam attachments"
RULE-BEAM-SEC,SYMBOL_RULE,"unnumbered rectangles along beams",,"TAV-02S native HiRes + canonical drawing grammar",DOC_SEMANTICS,"70x25, 120x20, 65x30 etc are beam-section symbols where continuity/context confirms; never create pillar nodes from these rectangles alone"
