record_id,record_type,members_or_relation,value_m,evidence,status,note
AUTHORITY,SOURCE_POLICY,"TAV-02S native raster",,"evidence/hires/TAV-02S raster + R02C01 direct visual review 2026-08-21",CURRENT,"This v4 supersedes terrace-chain entries of PT_HIRES_MESH_RECONSTRUCTION_v3 where inconsistent with native raster"
ROW-T0,ROW,"c-a-17-9-1",,"TAV-02S native HiRes R02C01 + top chain",DOC_TOPOLOGY,"original-plan upper row; user letter identification agrees with direct symbol reading"
ROW-T1,ROW,"d-b-18-10-2",4.70,"TAV-02S native HiRes R02C01; common reference lines",DOC_TOPOLOGY,"original-plan lower row; 4.70 m separation from ROW-T0"
CHAIN-T0-1,TRANSVERSE_CHAIN,"c-a",3.45,"TAV-02S R02C01 direct written dimension",DOC_QUOTED,"direct source reading"
CHAIN-T0-2,TRANSVERSE_CHAIN,"a-17",5.45,"TAV-02S R02C01 direct written dimension",DOC_QUOTED,"CORRECTS v3 value 3.45; native raster visibly reads 5.45"
CHAIN-T1-1,TRANSVERSE_CHAIN,"d-b",3.45,"TAV-02S R02C01 matching quoted geometry",DOC_QUOTED_ALIGN,"same two fixed lines as c-a; preserve as quoted/aligned pair"
CHAIN-T1-2,TRANSVERSE_CHAIN,"b-18",5.45,"TAV-02S R02C01 matching fixed lines",DOC_QUOTED_ALIGN,"same two fixed lines as a-17"
CHAIN-TERR-V1,LONGITUDINAL_CHAIN,"c-d",4.70,"TAV-02S R02C01 lower dimension chain + common fixed lines",DOC_QUOTED,"lettered terrace pillars"
CHAIN-TERR-V2,LONGITUDINAL_CHAIN,"a-b",4.70,"TAV-02S R02C01 lower dimension chain + common fixed lines",DOC_QUOTED,"lettered terrace pillars"
CHAIN-MAIN-V0,LONGITUDINAL_CHAIN,"17-18",4.70,"TAV-02S R02C01 same fixed-line spacing",DOC_QUOTED_ALIGN,"main receiving line"
CHAIN-T0-3,TRANSVERSE_CHAIN,"17-9",5.50,"TAV-02S native top-chain reading already independently recorded",DOC_QUOTED,"retain where directly read"
CHAIN-T0-4,TRANSVERSE_CHAIN,"9-1",5.60,"TAV-02S native top-chain reading already independently recorded",DOC_QUOTED,"retain where directly read"
ROW-L1,ROW,"31-28-25-19",,"TAV-02S native HiRes R02/R03",DOC_HIRES_ROW,"retained from v3"
ROW-L2,ROW,"32-29-26-21",,"TAV-02S native HiRes R03C01",DOC_HIRES_ROW,"retained from v3"
ROW-L3,ROW,"33-30-27-22",,"TAV-02S native HiRes R03C01",DOC_HIRES_ROW,"retained from v3"
CHAIN-L-X1,TRANSVERSE_CHAIN,"31-28;32-29;33-30",4.70,"TAV-02S written chain + native row verification",DOC_QUOTED,"retained"
CHAIN-L-X2,TRANSVERSE_CHAIN,"28-25;29-26;30-27",3.45,"TAV-02S written chain + native row verification",DOC_QUOTED,"retained"
CHAIN-L-X3,TRANSVERSE_CHAIN,"25-19;26-21;27-22",2.10,"TAV-02S written chain + native row verification",DOC_QUOTED,"retained"
CHAIN-L-Y1,LONGITUDINAL_CHAIN,"31-32",6.25,"TAV-02S direct written dimension",DOC_QUOTED,"retained"
CHAIN-L-Y2,LONGITUDINAL_CHAIN,"32-33",4.95,"TAV-02S direct written dimension",DOC_QUOTED,"retained"
P19-BIND,NODE_BINDING,"18-19",4.05,"TAV-02S documented left-wing chain",DOC_QUOTED,"direct quota prevails over apparent remote alignment"
P13-BIND,NODE_BINDING,"13-14",2.90,"TAV-02S native HiRes",DOC_QUOTED,"retained"
LOW-R1,ROW,"23-15-7",,"TAV-02S native lower sector",DOC_TOPOLOGY,"retained"
LOW-R2,ROW,"24-16-8",,"TAV-02S native lower sector",DOC_TOPOLOGY,"retained"
LOW-X1,TRANSVERSE_CHAIN,"23-15;24-16",6.45,"TAV-02S direct bottom chain",DOC_QUOTED,"retained"
LOW-X2,TRANSVERSE_CHAIN,"15-7;16-8",4.65,"TAV-02S direct bottom chain",DOC_QUOTED,"retained"
P22P-ID,ADDITIONAL_PILLAR,"22' distinct from 22",,"TAV-02S R03C01",DOC_DIRECT_ID_SECTION,"metric binding still MIS candidate approximately 1.20 m"
