support_id,section_g3_cm,evidence_status,confidence,source_basis,notes
P01,40x40,DOC,HIGH,"TAV-04S support 1 labels 40/40","Direct reading"
P02,40x40,DOC,HIGH,"TAV-04S support 2 labels 40/40","Direct reading"
P03,40x40,DOC,HIGH,"TAV-04S support 3 labels 40/40","Direct reading"
P04,40x40,DOC,HIGH,"TAV-04S support 4 labels 40/40","Direct reading"
P05,40x40,DOC,HIGH,"TAV-04S support 5 labels 40/40","Direct reading"
P06,40x40,DOC,HIGH,"TAV-04S support 6 labels 40/40","Direct reading"
P07,40x40,DOC,HIGH,"TAV-04S support 7 labels 40/40","Direct reading"
P08,40x40,DOC,HIGH,"TAV-04S support 8 labels 40/40","Direct reading"
P09,40x40,DOC,HIGH,"TAV-04S support 9 labels 40/40","Direct reading"
P10,30x50,DOC,HIGH,"TAV-04S support 10 labels 30/50","Direct reading"
P11,30x50,DOC,HIGH,"TAV-04S support 11 labels 30/50","Direct reading"
P12,30x45,DOC,HIGH,"TAV-04S support 12 labels 30/45","Direct reading"
P13,30x50,DOC,HIGH,"TAV-04S support 13 labels 30/50","Direct reading"
P14,30x50,DOC,HIGH,"TAV-04S support 14 labels 30/50","Direct reading"
P15,30x50,DOC,HIGH,"TAV-04S support 15 labels 30/50","Direct reading"
P16,40x40,DOC,HIGH,"TAV-04S support 16 labels 40/40","Direct reading"
P17,40x40,DOC,HIGH,"TAV-04S support 17 labels 40/40","Direct reading"
P18,30x110,DOC,HIGH,"TAV-04S support 18 labels 30/110","Both dimensions directly readable on HiRes crop; previous DOC+MIS classification superseded"
P19,40x40,DOC,HIGH,"TAV-04S support 19 labels 40/40","Direct reading"
P20,50x50,DOC,HIGH,"TAV-04S support 20 labels 50/50","Direct reading"
P21,30x45,DOC+MIS,HIGH,"TAV-04S support 21 short side label 30 + measured footprint ratio 45/30","Long side measured directly from footprint"
P22,30x50,DOC,HIGH,"TAV-04S support 22 labels 30/50","Direct reading"
P22P,40x40,DOC,HIGH,"TAV-04S support 22 prime labels 40/40","Distinct from P22"
P23,30x110,DOC,HIGH,"TAV-04S support 23 labels 30/110","Direct reading"
P24,40x40,DOC,HIGH,"TAV-04S support 24 labels 40/40","Direct reading"
P25,40x40,DOC,HIGH,"TAV-04S support 25 labels 40/40","Direct reading"
P26,30x50,DOC,HIGH,"TAV-04S support 26 labels 30/50","Direct reading"
P27,40x40,DOC,HIGH,"TAV-04S support 27 labels 40/40","Direct reading"
P28,40x40,DOC,HIGH,"TAV-04S support 28 labels 40/40","Direct reading"
P29,30x50,DOC,HIGH,"TAV-04S support 29 labels 30/50","Direct reading"
P30,30x110,DOC,HIGH,"TAV-04S support 30 labels 30/110","Direct reading; long-axis orientation to be compared with G4 by fixed line"
P31,40x40,DOC,HIGH,"TAV-04S support 31 labels 40/40","Direct reading"
P32,40x40,DOC,HIGH,"TAV-04S support 32 labels 40/40","Direct reading"
P33,40x40,DOC,HIGH,"TAV-04S support 33 labels 40/40","Direct reading"
