beam_id,storey_id,source_sheet,from_support_id,to_support_id,direction_class,section_cm,section_evidence_status,topology_evidence_status,from_support_face,to_support_face,primary_source_id,render_evidence,validation_state,note
G5-B001,G5,TAV-06S+TAV-06A,2,3,Y,30x50,DOC,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S+TAV-06A,TAV06S_300dpi.jpg+TAV06A_300dpi.jpg,CROSS_VALIDATED,
G5-B002,G5,TAV-06S+TAV-06A,3,4,Y,30x50,DOC,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S+TAV-06A,TAV06S_300dpi.jpg+TAV06A_300dpi.jpg,CROSS_VALIDATED,
G5-B003,G5,TAV-06S+TAV-06A,4,5,X,ND,ND,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S,TAV06S_300dpi.jpg,DIRECT_TOPOLOGY_SECTION_WATCH,
G5-B004,G5,TAV-06S+TAV-06A,5,6,Y,30x50,DOC,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S+TAV-06A,TAV06S_300dpi.jpg+TAV06A_300dpi.jpg,CROSS_VALIDATED,
G5-B005,G5,TAV-06S+TAV-06A,6,7,Y,30x50,DOC,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S+TAV-06A,TAV06S_300dpi.jpg+TAV06A_300dpi.jpg,CROSS_VALIDATED,
G5-B006,G5,TAV-06S+TAV-06A,2,10,X,30x50,DOC,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S+TAV-06A,TAV06S_300dpi.jpg+TAV06A_300dpi.jpg,CROSS_VALIDATED,
G5-B007,G5,TAV-06S+TAV-06A,3,11,X,30x50,DOC,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S+TAV-06A,TAV06S_300dpi.jpg+TAV06A_300dpi.jpg,CROSS_VALIDATED,
G5-B008,G5,TAV-06S+TAV-06A,5,13,OFFSET_POLYLINE,ND,ND,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S,TAV06S_300dpi.jpg,DIRECT_TOPOLOGY_SECTION_WATCH,L-offset beam DOC on TAV-06S; preserved as offset polyline.
G5-B009,G5,TAV-06S+TAV-06A,6,14,X,30x50,DOC,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S+TAV-06A,TAV06S_300dpi.jpg+TAV06A_300dpi.jpg,CROSS_VALIDATED,
G5-B010,G5,TAV-06S+TAV-06A,7,15,X,30x50,DOC,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S+TAV-06A,TAV06S_300dpi.jpg+TAV06A_300dpi.jpg,CROSS_VALIDATED,
G5-B011,G5,TAV-06S+TAV-06A,10,11,Y,ND,ND,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S,TAV06S_300dpi.jpg,DIRECT_TOPOLOGY_SECTION_WATCH,
G5-B012,G5,TAV-06S+TAV-06A,11,12,Y,ND,ND,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S,TAV06S_300dpi.jpg,DIRECT_TOPOLOGY_SECTION_WATCH,
G5-B013,G5,TAV-06S+TAV-06A,13,14,Y,30x50,DOC,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S+TAV-06A,TAV06S_300dpi.jpg+TAV06A_300dpi.jpg,CROSS_VALIDATED,
G5-B014,G5,TAV-06S+TAV-06A,14,15,Y,30x50,DOC,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S+TAV-06A,TAV06S_300dpi.jpg+TAV06A_300dpi.jpg,CROSS_VALIDATED,
G5-B015,G5,TAV-06S+TAV-06A,10,18,X,30x50,DOC,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S+TAV-06A,TAV06S_300dpi.jpg+TAV06A_300dpi.jpg,CROSS_VALIDATED,
G5-B016,G5,TAV-06S+TAV-06A,11,20,X,30x50,DOC,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S+TAV-06A,TAV06S_300dpi.jpg+TAV06A_300dpi.jpg,CROSS_VALIDATED,
G5-B017,G5,TAV-06S+TAV-06A,12,19,DIAGONAL,ND,ND,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S,TAV06S_300dpi.jpg,DIRECT_TOPOLOGY_SECTION_WATCH,Diagonal beam DOC on TAV-06S; complete section not mapped to labelled TAV-06A family.
G5-B018,G5,TAV-06S+TAV-06A,18,19,Y_WITH_OFFSET,ND,ND,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S,TAV06S_300dpi.jpg,DIRECT_TOPOLOGY_SECTION_WATCH,
G5-B019,G5,TAV-06S+TAV-06A,19,20,Y,ND,ND,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S,TAV06S_300dpi.jpg,DIRECT_TOPOLOGY_SECTION_WATCH,
G5-B020,G5,TAV-06S+TAV-06A,13,21,X,ND,ND,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S,TAV06S_300dpi.jpg,DIRECT_TOPOLOGY_SECTION_WATCH,
G5-B021,G5,TAV-06S+TAV-06A,14,22,X,30x50,DOC,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S+TAV-06A,TAV06S_300dpi.jpg+TAV06A_300dpi.jpg,CROSS_VALIDATED,
G5-B022,G5,TAV-06S+TAV-06A,15,23,X,30x50,DOC,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S+TAV-06A,TAV06S_300dpi.jpg+TAV06A_300dpi.jpg,CROSS_VALIDATED,
G5-B023,G5,TAV-06S+TAV-06A,19,25,X,ND,ND,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S,TAV06S_300dpi.jpg,DIRECT_TOPOLOGY_SECTION_WATCH,
G5-B024,G5,TAV-06S+TAV-06A,21,22,Y,ND,ND,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S,TAV06S_300dpi.jpg,DIRECT_TOPOLOGY_SECTION_WATCH,
G5-B025,G5,TAV-06S+TAV-06A,22,22',Y,ND,ND,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S,TAV06S_300dpi.jpg,DIRECT_TOPOLOGY_SECTION_WATCH,
G5-B026,G5,TAV-06S+TAV-06A,22',23,Y_WITH_OFFSET,ND,ND,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S,TAV06S_300dpi.jpg,DIRECT_TOPOLOGY_SECTION_WATCH,
G5-B027,G5,TAV-06S+TAV-06A,21,26,X,ND,ND,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S,TAV06S_300dpi.jpg,DIRECT_TOPOLOGY_SECTION_WATCH,
G5-B028,G5,TAV-06S+TAV-06A,22',27,X,ND,ND,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S,TAV06S_300dpi.jpg,DIRECT_TOPOLOGY_SECTION_WATCH,
G5-B029,G5,TAV-06S+TAV-06A,25,26,Y,30x50,DOC,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S+TAV-06A,TAV06S_300dpi.jpg+TAV06A_300dpi.jpg,CROSS_VALIDATED,
G5-B030,G5,TAV-06S+TAV-06A,26,27,Y,30x50,DOC,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S+TAV-06A,TAV06S_300dpi.jpg+TAV06A_300dpi.jpg,CROSS_VALIDATED,
G5-B031,G5,TAV-06S+TAV-06A,25,28,X,ND,ND,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S,TAV06S_300dpi.jpg,DIRECT_TOPOLOGY_SECTION_WATCH,
G5-B032,G5,TAV-06S+TAV-06A,26,29,X,ND,ND,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S,TAV06S_300dpi.jpg,DIRECT_TOPOLOGY_SECTION_WATCH,
G5-B033,G5,TAV-06S+TAV-06A,27,30,X_WITH_OFFSET,ND,ND,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S,TAV06S_300dpi.jpg,DIRECT_TOPOLOGY_SECTION_WATCH,
G5-B034,G5,TAV-06S+TAV-06A,28,29,Y,30x50,DOC,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S+TAV-06A,TAV06S_300dpi.jpg+TAV06A_300dpi.jpg,CROSS_VALIDATED,
G5-B035,G5,TAV-06S+TAV-06A,29,30,Y,30x50,DOC,DOC,ALONG_MEMBER,ALONG_MEMBER,TAV-06S+TAV-06A,TAV06S_300dpi.jpg+TAV06A_300dpi.jpg,CROSS_VALIDATED,
