support_id,section_g2_cm,evidence_status,confidence,source_basis,notes
P01,40x45,DOC,HIGH,"TAV-03S support 1 labels 40/45","Direct HiRes reading"
P02,40x45,DOC,HIGH,"TAV-03S support 2 labels 40/45","Direct HiRes reading"
P03,40x45,DOC,HIGH,"TAV-03S support 3 labels 40/45","Direct HiRes reading"
P04,40x45,DOC,HIGH,"TAV-03S support 4 labels 40/45","Direct HiRes reading"
P05,40x45,DOC,HIGH,"TAV-03S support 5 labels 40/45","Direct HiRes reading"
P06,40x45,DOC,HIGH,"TAV-03S support 6 labels 40/45","Direct HiRes reading"
P07,40x45,DOC,HIGH,"TAV-03S support 7 labels 40/45","Direct HiRes reading"
P08,40x45,DOC,HIGH,"TAV-03S support 8 labels 40/45","Direct HiRes reading"
P09,40x45,DOC,HIGH,"TAV-03S support 9 labels 40/45","Direct HiRes reading"
P10,35x50,DOC,HIGH,"TAV-03S support 10 labels 35/50","Direct HiRes reading"
P11,35x50,DOC,HIGH,"TAV-03S support 11 labels 35/50","Direct HiRes reading"
P12,35x50,DOC,HIGH,"TAV-03S support 12 labels 35/50","Direct HiRes reading"
P13,35x50,DOC,HIGH,"TAV-03S support 13 labels 35/50","Direct HiRes reading"
P14,35x50,DOC,HIGH,"TAV-03S support 14 labels 35/50","Direct HiRes reading"
P15,35x50,DOC,HIGH,"TAV-03S support 15 labels 35/50","Direct HiRes reading"
P16,40x45,DOC,HIGH,"TAV-03S support 16 labels 40/45","Direct HiRes reading"
P17,40x45,DOC,HIGH,"TAV-03S support 17 labels 40/45","Direct HiRes reading"
P18,30x110,DOC,HIGH,"TAV-03S support 18 labels 30/110","Direct HiRes reading; wide support"
P19,40x45,DOC,HIGH,"TAV-03S support 19 labels 40/45","Direct HiRes reading"
P20,40x45,DOC,HIGH,"TAV-03S support 20 labels 40/45","Direct HiRes reading"
P21,35x50,DOC,HIGH,"TAV-03S support 21 labels 35/50","Direct HiRes reading"
P22,35x50,DOC,HIGH,"TAV-03S support 22 labels 35/50","Direct HiRes reading; distinct from P22P"
P22P,40x45,DOC,HIGH,"TAV-03S support 22 prime labels 40/45","Distinct support 22 prime"
P23,30x110,DOC,HIGH,"TAV-03S support 23 labels 30/110","Direct HiRes reading; wide support"
P24,40x45,DOC,HIGH,"TAV-03S support 24 labels 40/45","Direct HiRes reading"
P25,40x45,DOC,HIGH,"TAV-03S support 25 labels 40/45","Direct HiRes reading"
P26,35x50,DOC,HIGH,"TAV-03S support 26 labels 35/50","Direct HiRes reading"
P27,40x45,DOC,HIGH,"TAV-03S support 27 labels 40/45","Direct HiRes reading"
P28,40x45,DOC,HIGH,"TAV-03S support 28 labels 40/45","Direct HiRes reading"
P29,35x50,DOC,HIGH,"TAV-03S support 29 labels 35/50","Direct HiRes reading"
P30,30x110,DOC,HIGH,"TAV-03S support 30 labels 30/110","Direct HiRes reading; wide support"
P31,40x45,DOC,HIGH,"TAV-03S support 31 labels 40/45","Direct HiRes reading"
P32,40x45,DOC,HIGH,"TAV-03S support 32 labels 40/45","Direct HiRes reading"
P33,40x45,DOC,HIGH,"TAV-03S support 33 labels 40/45","Direct HiRes reading"
