pillar_id,x_local_m,y_local_m,coordinate_status,source_basis,note
c,0.00,0.00,DOC_QUOTED_LOCAL_ORIGIN,"TAV-02S native; chosen local origin","original-plan upper terrace row"
a,3.45,0.00,DOC_QUOTED,"c-a=3.45","direct"
17,6.90,0.00,DOC_CROSS_VALIDATED,"a-17=3.45; pixel separation equals c-a","corrects superseded v1 center solution"
9,12.40,0.00,DOC_QUOTED,"17-9=5.50","top main row"
1,18.00,0.00,DOC_QUOTED,"9-1=5.60","top main row"
d,0.00,4.70,DOC_QUOTED_ALIGN,"c-d=4.70","lower terrace row"
b,3.45,4.70,DOC_QUOTED_ALIGN,"a-b=4.70; d-b=3.45","lower terrace row"
18,6.90,4.70,DOC_QUOTED_ALIGN,"17-18=4.70","main receiving line"
10,12.40,4.70,DOC_ALIGN,"same row as 18 and 2","native structural reference"
2,18.00,4.70,DOC_QUOTED,"1-2=4.70","right main chain"
19,6.90,8.75,DOC_QUOTED,"18-19=4.05","left-wing direct chain"
31,-3.35,8.75,DOC_QUOTED_MESH,"31-28=4.70;28-25=3.45;25-19=2.10","native stepped row"
28,1.35,8.75,DOC_QUOTED_MESH,"row 31-28-25-19","native stepped row"
25,4.80,8.75,DOC_QUOTED_MESH,"row 31-28-25-19","native stepped row"
11,12.40,9.80,DOC_ALIGN,"row through P3","right grid"
3,18.00,9.80,DOC_QUOTED,"2-3=5.10","right main chain"
20,6.90,9.80,DOC_HIRES_ALIGN,"native HiRes direct alignment; historical residual CLOSED_DOC_ALIGN","distinct from P19"
12,12.40,13.95,DOC_ALIGN,"row through P4","right grid"
5,16.10,13.95,DOC_QUOTED,"5-4=1.90","direct offset"
4,18.00,13.95,DOC_QUOTED,"3-4=4.15","right main chain"
32,-3.35,15.00,DOC_QUOTED_MESH,"31-32=6.25","left stepped row"
29,1.35,15.00,DOC_QUOTED_MESH,"row 32-29-26-21","native stepped row"
26,4.80,15.00,DOC_QUOTED_MESH,"row 32-29-26-21","native stepped row"
21,6.90,15.00,DOC_QUOTED_MESH,"row 32-29-26-21","native stepped row"
13,13.35,15.20,DOC_QUOTED,"13-14=2.90","native HiRes direct spacing"
14,13.35,18.10,DOC_QUOTED,"14-6=4.65","cross row"
6,18.00,18.10,DOC_QUOTED,"4-6=4.15","right main chain"
33,-3.35,19.95,DOC_QUOTED_MESH,"32-33=4.95","left stepped row"
30,1.35,19.95,DOC_QUOTED_MESH,"row 33-30-27-22","30x110 support"
27,4.80,19.95,DOC_QUOTED_MESH,"row 33-30-27-22","native stepped row"
22,6.90,19.95,DOC_QUOTED_MESH,"row 33-30-27-22","distinct from 22-prime"
23,6.90,23.43,DOC_QUOTED,"23-15=6.45","110x30 plan support"
15,13.35,23.43,DOC_ALIGN_QUOTED,"23-15=6.45;15-7=4.65","lower row"
7,18.00,23.43,DOC_QUOTED,"6-7=5.33;15-7=4.65","right/lower closure"
24,6.90,28.13,DOC_QUOTED,"24-16=6.45","lower row"
16,13.35,28.13,DOC_ALIGN_QUOTED,"24-16=6.45;16-8=4.65","lower row"
8,18.00,28.13,DOC_QUOTED,"7-8=4.70;16-8=4.65","right/lower closure"
22',,,MIS_OFFSET_PENDING_DIRECTION,"TAV-02S R03C01 local calibration ~1.18 m compatible with 1.20","identity and section DOC; center not promoted until vector direction is fixed"
SUPERSEDED_FILE,PT_PILLAR_CENTERS_LOCAL_HIRES_v1.csv,,,SUPERSEDED,"a-17 handwritten dimension misread as 5.45; pixel calibration proves equal 3.45 spacing","do not use v1"
