beam_id,storey_id,source_sheet,from_support_id,to_support_id,direction_class,section_width_cm,section_depth_cm,section_cm,section_evidence_status,section_source_rule,topology_evidence_status,from_support_face,to_support_face,primary_source_id,primary_source_path,primary_source_blob_sha,primary_source_sha256,render_evidence,validation_state,note
G2-B001,G2,TAV-03S,1,2,Y,25,70,25x70,DOC,DIRECT_SPAN_CALLOUT,DOC,Y_POS,Y_NEG,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,storey-source-renders-v1/TAV03S_300dpi.jpg,DIRECT_REGISTERED,
G2-B002,G2,TAV-03S,2,3,Y,25,70,25x70,DOC,DIRECT_SPAN_CALLOUT,DOC,Y_POS,Y_NEG,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,storey-source-renders-v1/TAV03S_300dpi.jpg,DIRECT_REGISTERED,
G2-B003,G2,TAV-03S,3,4,Y,25,70,25x70,DOC,DIRECT_SPAN_CALLOUT,DOC,Y_POS,Y_NEG,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,storey-source-renders-v1/TAV03S_300dpi.jpg,DIRECT_REGISTERED,
G2-B004,G2,TAV-03S,4,5,X,25,70,25x70,DOC,DIRECT_SPAN_CALLOUT,DOC,X_NEG,X_POS,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,storey-source-renders-v1/TAV03S_300dpi.jpg,DIRECT_REGISTERED,
G2-B005,G2,TAV-03S,5,6,Y,25,70,25x70,DOC,DIRECT_SPAN_CALLOUT,DOC,Y_POS,Y_NEG,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,storey-source-renders-v1/TAV03S_300dpi.jpg,DIRECT_REGISTERED,
G2-B006,G2,TAV-03S,6,7,Y,25,70,25x70,DOC,DIRECT_SPAN_CALLOUT,DOC,Y_POS,Y_NEG,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,storey-source-renders-v1/TAV03S_300dpi.jpg,DIRECT_REGISTERED,
G2-B007,G2,TAV-03S,7,8,Y,25,70,25x70,DOC,DIRECT_SPAN_CALLOUT,DOC,Y_POS,Y_NEG,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,storey-source-renders-v1/TAV03S_300dpi.jpg,DIRECT_REGISTERED,
G2-B008,G2,TAV-03S,1,9,X,25,70,25x70,DOC,DIRECT_SPAN_CALLOUT,DOC,X_NEG,X_POS,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,storey-source-renders-v1/TAV03S_300dpi.jpg,DIRECT_REGISTERED,
G2-B009,G2,TAV-03S,2,10,X,50,20,50x20,DOC,DIRECT_SPAN_CALLOUT,DOC,X_NEG,X_POS,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,storey-source-renders-v1/TAV03S_300dpi.jpg,DIRECT_REGISTERED,
G2-B010,G2,TAV-03S,3,11,X,50,20,50x20,DOC,DIRECT_SPAN_CALLOUT,DOC,X_NEG,X_POS,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,storey-source-renders-v1/TAV03S_300dpi.jpg,DIRECT_REGISTERED,
G2-B011,G2,TAV-03S,6,14,X,50,20,50x20,DOC,DIRECT_SPAN_CALLOUT,DOC,X_NEG,X_POS,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,storey-source-renders-v1/TAV03S_300dpi.jpg,DIRECT_REGISTERED,
G2-B012,G2,TAV-03S,7,15,X,50,20,50x20,DOC,DIRECT_SPAN_CALLOUT,DOC,X_NEG,X_POS,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,storey-source-renders-v1/TAV03S_300dpi.jpg,DIRECT_REGISTERED,
G2-B013,G2,TAV-03S,8,16,X,25,70,25x70,DOC,DIRECT_SPAN_CALLOUT,DOC,X_NEG,X_POS,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,storey-source-renders-v1/TAV03S_300dpi.jpg,DIRECT_REGISTERED,
G2-B014,G2,TAV-03S,9,10,Y,140,20,140x20,DOC,DIRECT_SPAN_CALLOUT,DOC,Y_POS,Y_NEG,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,storey-source-renders-v1/TAV03S_300dpi.jpg,DIRECT_REGISTERED,
G2-B015,G2,TAV-03S,10,11,Y,140,20,140x20,DOC,DIRECT_SPAN_CALLOUT,DOC,Y_POS,Y_NEG,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,storey-source-renders-v1/TAV03S_300dpi.jpg,DIRECT_REGISTERED,
G2-B016,G2,TAV-03S,11,12,Y,140,20,140x20,DOC,DIRECT_SPAN_CALLOUT,DOC,Y_POS,Y_NEG,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,storey-source-renders-v1/TAV03S_300dpi.jpg,DIRECT_REGISTERED,
G2-B017,G2,TAV-03S,13,14,Y,140,20,140x20,DOC,DIRECT_SPAN_CALLOUT,DOC,Y_POS,Y_NEG,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,storey-source-renders-v1/TAV03S_300dpi.jpg,DIRECT_REGISTERED,
G2-B018,G2,TAV-03S,14,15,Y,140,20,140x20,DOC,DIRECT_SPAN_CALLOUT,DOC,Y_POS,Y_NEG,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,storey-source-renders-v1/TAV03S_300dpi.jpg,DIRECT_REGISTERED,
G2-B019,G2,TAV-03S,15,16,Y,140,20,140x20,DOC,DIRECT_SPAN_CALLOUT,DOC,Y_POS,Y_NEG,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,storey-source-renders-v1/TAV03S_300dpi.jpg,DIRECT_REGISTERED,
G2-B020,G2,TAV-03S,11,20,X,50,20,50x20,DOC,DIRECT_SPAN_CALLOUT,DOC,X_NEG,X_POS,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,storey-source-renders-v1/TAV03S_300dpi.jpg,DIRECT_REGISTERED,
G2-B021,G2,TAV-03S,10,18,X_WITH_OFFSET,50,20,50x20,DOC,DIRECT_SPAN_CALLOUT,DOC,X_NEG,X_POS,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,storey-source-renders-v1/TAV03S_300dpi.jpg,DIRECT_REGISTERED,Direct source beam trace is slightly oblique in registered common XY; incidence face uses dominant documented run direction.
G2-B022,G2,TAV-03S,9,17,X,25,70,25x70,DOC,DIRECT_SPAN_CALLOUT,DOC,X_NEG,X_POS,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,storey-source-renders-v1/TAV03S_300dpi.jpg,DIRECT_REGISTERED,
G2-B023,G2,TAV-03S,13,21,X,50,20,50x20,DOC,DIRECT_SPAN_CALLOUT,DOC,X_NEG,X_POS,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,storey-source-renders-v1/TAV03S_300dpi.jpg,DIRECT_REGISTERED,
G2-B024,G2,TAV-03S,14,22,X,50,20,50x20,DOC,DIRECT_SPAN_CALLOUT,DOC,X_NEG,X_POS,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,storey-source-renders-v1/TAV03S_300dpi.jpg,DIRECT_REGISTERED,
G2-B025,G2,TAV-03S,15,23,X_WITH_OFFSET,50,20,50x20,DOC,DIRECT_SPAN_CALLOUT,DOC,X_NEG,X_POS,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,storey-source-renders-v1/TAV03S_300dpi.jpg,DIRECT_REGISTERED,Direct source beam trace is slightly oblique in registered common XY; incidence face uses dominant documented run direction.
G2-B026,G2,TAV-03S,16,24,X_WITH_OFFSET,25,70,25x70,DOC,DIRECT_SPAN_CALLOUT,DOC,X_NEG,X_POS,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,storey-source-renders-v1/TAV03S_300dpi.jpg,DIRECT_REGISTERED,Direct source beam trace is slightly oblique in registered common XY; incidence face uses dominant documented run direction.
G2-B027,G2,TAV-03S,19,20,Y,25,70,25x70,DOC,CONTINUOUS_MEMBER_CALLOUT,DOC,Y_POS,Y_NEG,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,storey-source-renders-v1/TAV03S_300dpi.jpg,DIRECT_REGISTERED,Short support-to-support span on a continuous TAV-03S beam run; section carried only along the same directly traced member with no change symbol.
G2-B028,G2,TAV-03S,18,19,Y_WITH_OFFSET,25,70,25x70,DOC,DIRECT_SPAN_CALLOUT,DOC,Y_POS,Y_NEG,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,storey-source-renders-v1/TAV03S_300dpi.jpg,DIRECT_REGISTERED,Direct source beam trace is slightly oblique in registered common XY; incidence face uses dominant documented run direction.
G2-B029,G2,TAV-03S,17,18,Y_WITH_OFFSET,25,70,25x70,DOC,DIRECT_SPAN_CALLOUT,DOC,Y_POS,Y_NEG,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,storey-source-renders-v1/TAV03S_300dpi.jpg,DIRECT_REGISTERED,Direct source beam trace is slightly oblique in registered common XY; incidence face uses dominant documented run direction.
G2-B030,G2,TAV-03S,19,25,X,25,70,25x70,DOC,DIRECT_SPAN_CALLOUT,DOC,X_NEG,X_POS,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,storey-source-renders-v1/TAV03S_300dpi.jpg,DIRECT_REGISTERED,
G2-B031,G2,TAV-03S,21,22,Y,50,20,50x20,DOC,DIRECT_SPAN_CALLOUT,DOC,Y_POS,Y_NEG,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,storey-source-renders-v1/TAV03S_300dpi.jpg,DIRECT_REGISTERED,
