support_id,storey_id,source_sheet,section_x_cm,section_y_cm,section_cm,orientation_class,evidence_status,primary_source_id,primary_source_path,primary_source_blob_sha,primary_source_sha256,render_evidence,validation_state,note
1,G2,TAV-03S,40,45,40x45,X40_Y45,DOC,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,n12-analysis-cycle-report/TAV03S_300dpi.jpg,DIRECT_REGISTERED,"Written 40 horizontal and 45 vertical."
2,G2,TAV-03S,45,40,45x40,X45_Y40,DOC,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,n12-analysis-cycle-report/TAV03S_300dpi.jpg,DIRECT_REGISTERED,"Written 45 horizontal and 40 vertical."
3,G2,TAV-03S,45,40,45x40,X45_Y40,DOC,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,n12-analysis-cycle-report/TAV03S_300dpi.jpg,DIRECT_REGISTERED,"Written 45 horizontal and 40 vertical."
4,G2,TAV-03S,40,45,40x45,X40_Y45,DOC,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,n12-analysis-cycle-report/TAV03S_300dpi.jpg,DIRECT_REGISTERED,"Written 40 horizontal and 45 vertical."
5,G2,TAV-03S,40,45,40x45,X40_Y45,DOC,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,n12-analysis-cycle-report/TAV03S_300dpi.jpg,DIRECT_REGISTERED,"Written 40 horizontal and 45 vertical."
6,G2,TAV-03S,45,40,45x40,X45_Y40,DOC,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,n12-analysis-cycle-report/TAV03S_300dpi.jpg,DIRECT_REGISTERED,"Written 45 horizontal and 40 vertical."
7,G2,TAV-03S,45,40,45x40,X45_Y40,DOC,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,n12-analysis-cycle-report/TAV03S_300dpi.jpg,DIRECT_REGISTERED,"Written 45 horizontal and 40 vertical."
8,G2,TAV-03S,40,45,40x45,X40_Y45,DOC,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,n12-analysis-cycle-report/TAV03S_300dpi.jpg,DIRECT_REGISTERED,"Written 40 horizontal and 45 vertical."
9,G2,TAV-03S,40,45,40x45,X40_Y45,DOC,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,n12-analysis-cycle-report/TAV03S_300dpi.jpg,DIRECT_REGISTERED,"Written 40 horizontal and 45 vertical."
10,G2,TAV-03S,50,35,50x35,X50_Y35,DOC,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,n12-analysis-cycle-report/TAV03S_300dpi.jpg,DIRECT_REGISTERED,"Written 50 horizontal and 35 vertical."
11,G2,TAV-03S,50,35,50x35,X50_Y35,DOC,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,n12-analysis-cycle-report/TAV03S_300dpi.jpg,DIRECT_REGISTERED,"Written 50 horizontal and 35 vertical."
12,G2,TAV-03S,35,50,35x50,X35_Y50,DOC,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,n12-analysis-cycle-report/TAV03S_300dpi.jpg,DIRECT_REGISTERED,"Written 35 horizontal and 50 vertical."
13,G2,TAV-03S,50,35,50x35,X50_Y35,DOC,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,n12-analysis-cycle-report/TAV03S_300dpi.jpg,DIRECT_REGISTERED,"Written 50 horizontal and 35 vertical."
14,G2,TAV-03S,50,35,50x35,X50_Y35,DOC,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,n12-analysis-cycle-report/TAV03S_300dpi.jpg,DIRECT_REGISTERED,"Written 50 horizontal and 35 vertical."
15,G2,TAV-03S,50,35,50x35,X50_Y35,DOC,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,n12-analysis-cycle-report/TAV03S_300dpi.jpg,DIRECT_REGISTERED,"Written 50 horizontal and 35 vertical."
16,G2,TAV-03S,40,45,40x45,X40_Y45,DOC,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,n12-analysis-cycle-report/TAV03S_300dpi.jpg,DIRECT_REGISTERED,"Written 40 horizontal and 45 vertical."
17,G2,TAV-03S,40,45,40x45,X40_Y45,DOC,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,n12-analysis-cycle-report/TAV03S_300dpi.jpg,DIRECT_REGISTERED,"Written 40 horizontal and 45 vertical."
18,G2,TAV-03S,30,110,30x110,X30_Y110,DOC,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,n12-analysis-cycle-report/TAV03S_300dpi.jpg,DIRECT_REGISTERED,"Extended support; written 30 horizontal and 110 vertical."
19,G2,TAV-03S,40,45,40x45,X40_Y45,DOC,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,n12-analysis-cycle-report/TAV03S_300dpi.jpg,DIRECT_REGISTERED,"Written 40 horizontal and 45 vertical."
20,G2,TAV-03S,45,40,45x40,X45_Y40,DOC,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,n12-analysis-cycle-report/TAV03S_300dpi.jpg,DIRECT_REGISTERED,"Written 45 horizontal and 40 vertical."
21,G2,TAV-03S,35,50,35x50,X35_Y50,DOC,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,n12-analysis-cycle-report/TAV03S_300dpi.jpg,DIRECT_REGISTERED,"Written 35 horizontal and 50 vertical."
22,G2,TAV-03S,35,50,35x50,X35_Y50,DOC,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,n12-analysis-cycle-report/TAV03S_300dpi.jpg,DIRECT_REGISTERED,"Written 35 horizontal and 50 vertical."
22',G2,TAV-03S,45,40,45x40,X45_Y40,DOC,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,n12-analysis-cycle-report/TAV03S_300dpi.jpg,DIRECT_REGISTERED,"Distinct 22-prime identity; written 45 horizontal and 40 vertical."
23,G2,TAV-03S,30,110,30x110,X30_Y110,DOC,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,n12-analysis-cycle-report/TAV03S_300dpi.jpg,DIRECT_REGISTERED,"Extended support; written 30 horizontal and 110 vertical."
24,G2,TAV-03S,40,45,40x45,X40_Y45,DOC,TAV-03S,archive/documentazione_originaria/tavola3-2.pdf,efd0dcb191088ee5939371c219c2c11072cd3bff,c28612f58a734d5859a0d3485b28e370b31b292d0a32171832db41e0052fa8d5,n12-analysis-cycle-report/TAV03S_300dpi.jpg,DIRECT_REGISTERED,"Written 40 horizontal and 45 vertical."
