object_id,tavola_id,section_doc,fixed_u_px,fixed_v_px,coord_status,confidence,source_basis,geometry_policy,supersedes,notes
P01,TAV-05S,40x40,4039,2722,MIS,HIGH,"simbolo numerato 1; intersezione linee sottili di filo fisso",SUPPORT_WITH_FACES,v2:P01,"Confermato su crop dedicato"
P02,TAV-05S,40x40,4040,3466,MIS,HIGH,"simbolo numerato 2; intersezione linee sottili di filo fisso",SUPPORT_WITH_FACES,v2:P02,"Confermato"
P03,TAV-05S,40x40,4044,4268,MIS,HIGH,"simbolo numerato 3; linee sottili interne distinte dai bordi trave",SUPPORT_WITH_FACES,,"Nuovo rilievo v3"
P04,TAV-05S,40x40,4046,4922,MIS,HIGH,"simbolo numerato 4; lettura ad alto ingrandimento",SUPPORT_WITH_FACES,v2:P04,"Non confondere con P01"
P05,TAV-05S,40x40,3737,4923,MIS,HIGH,"simbolo numerato 5; intersezione fili fissi",SUPPORT_WITH_FACES,v2:P05,"Coordinata raffinata"
P06,TAV-05S,40x40,3733,5583,MIS,HIGH,"simbolo numerato 6; intersezione filo verticale e orizzontale passanti nel numero",SUPPORT_WITH_FACES,v2:P06,"Corretto v=5547 che intercettava il bordo superiore della trave"
P07,TAV-05S,40x40,3740,6419,MIS,HIGH,"simbolo numerato 7; intersezione fili fissi",SUPPORT_WITH_FACES,,"Nuovo rilievo v3"
P08,TAV-05S,40x40,3742,7159,MIS,HIGH,"simbolo numerato 8; intersezione fili fissi",SUPPORT_WITH_FACES,,"Nuovo rilievo v3"
P09,TAV-05S,40x40,3152,2721,MIS,HIGH,"simbolo numerato 9; lettura diretta ad alto ingrandimento",SUPPORT_WITH_FACES,v2:P09,"Corretto u=3057: il precedente crop non era ancorato al simbolo canonico"
P10,TAV-05S,30x45,3154,3468,MIS,HIGH,"simbolo numerato 10; quote 30x45 e fili fissi leggibili",SUPPORT_WITH_FACES,v2:P10,"Corretto u=3058"
P11,TAV-05S,30x45,3156,4271,MIS,HIGH,"simbolo numerato 11; intersezione fili fissi",SUPPORT_WITH_FACES,,"Nuovo rilievo v3"
P13,TAV-05S,30x45,2993,5128,MIS,HIGH,"simbolo numerato 13; quote 30x45; filo orizzontale passante nel numero",SUPPORT_WITH_FACES,v2:P13,"Corretto v=5095 che coincideva con bordo superiore"
P14,TAV-05S,30x45,2996,5583,MIS,HIGH,"simbolo numerato 14; quote 30x45; intersezione fili fissi",SUPPORT_WITH_FACES,v2:P14,"Confermato"
P17,TAV-05S,40x40,2282,2722,MIS,HIGH,"simbolo numerato 17; intersezione fili fissi",SUPPORT_WITH_FACES,v2:P17,"Confermato"
P18,TAV-05S,30x110,2329,3468,MIS,HIGH,"simbolo numerato 18; sezione 30x110 DOC; fili fissi interni",SUPPORT_WITH_FACES,v2:P18,"Elemento esteso: conservare quattro facce"
P19,TAV-05S,40x40,2411,4109,MIS,HIGH,"simbolo numerato 19; intersezione linee sottili interne",SUPPORT_WITH_FACES,,"Nuovo rilievo v3"
P20,TAV-05S,40x40,2403,4273,MIS,HIGH,"simbolo numerato 20; intersezione fili fissi",SUPPORT_WITH_FACES,,"Nuovo rilievo v3"
P21,TAV-05S,30x45,2102,5130,MIS,HIGH,"simbolo numerato 21; quote 30x45; intersezione fili fissi",SUPPORT_WITH_FACES,,"Nuovo rilievo v3"
P22,TAV-05S,30x45,2105,5588,MIS,HIGH,"simbolo numerato 22; quote 30x45; intersezione fili fissi",SUPPORT_WITH_FACES,,"Nuovo rilievo v3"
P23,TAV-05S,30x110,2035,6428,MIS,HIGH,"simbolo numerato 23; sezione 30x110 DOC; fili fissi interni",SUPPORT_WITH_FACES,v2:P23,"Elemento esteso: conservare quattro facce"
P25,TAV-05S,40x40,1738,4120,MIS,HIGH,"simbolo numerato 25; intersezione fili fissi",SUPPORT_WITH_FACES,v2:P25,"Confermato su dettaglio dedicato"
P26,TAV-05S,30x45,1743,5104,MIS,MEDIUM,"simbolo numerato 26; quote 30x45; filo fisso leggibile ma da doppio controllo",SUPPORT_WITH_FACES,,"Nuovo rilievo v3"
P28,TAV-05S,40x40,1193,4117,MIS,HIGH,"simbolo numerato 28; intersezione fili fissi",SUPPORT_WITH_FACES,,"Nuovo rilievo v3"
P29,TAV-05S,30x45,1200,5107,MIS,HIGH,"simbolo numerato 29; quote 30x45; intersezione fili fissi",SUPPORT_WITH_FACES,,"Nuovo rilievo v3"
P30,TAV-05S,30x110,1204,5834,MIS,HIGH,"simbolo numerato 30; sezione 30x110 DOC; fili fissi interni",SUPPORT_WITH_FACES,v2:P30,"Elemento esteso orientato ortogonalmente a P18/P23"
P32,TAV-05S,40x40,453,5117,MIS,MEDIUM,"simbolo numerato 32; intersezione fili fissi",SUPPORT_WITH_FACES,,"Da secondo controllo locale prima del passaggio metrico"
P35,TAV-05S,40x40,461,5900,MIS,MEDIUM,"simbolo numerato 35; intersezione fili fissi",SUPPORT_WITH_FACES,,"Da secondo controllo locale prima del passaggio metrico"
