schedule_id,source_id,source_group,drawn_sequence,canonical_member_ids,section_cm,component,bar_count,diameter_mm,shape_class,length_or_segments_cm,position_or_role,stirrup_spacing_cm,evidence_status,binding_status,source_locator,note
T2A-G01-ST,TAV-02A,T2A-G01,"4-3-2-1 | 5-6-7-8",B-009;B-008;B-007;B-010;B-011;B-012,25x70,STIRRUP,,6,CLOSED_RECTANGULAR,,TRANSVERSE,15,DOC,DIRECT_GROUP_BINDING,TAV02A P02,"Section sketch 25x70 with staffe Ø6/15 is directly adjacent to the paired G01 scheme. Source note states parenthesized measures apply to 4-3-2-1."
T2A-G01-L01,TAV-02A,T2A-G01,"4-3-2-1 | 5-6-7-8",B-009;B-008;B-007;B-010;B-011;B-012,25x70,LONGITUDINAL,2,14,STRAIGHT,1040,LONG_CONTINUOUS_A,,DOC,DIRECT_GROUP_BINDING,TAV02A P01-P02,"Direct 2Ø14 line length 1040 cm crossing the panel boundary."
T2A-G01-L02,TAV-02A,T2A-G01,"4-3-2-1 | 5-6-7-8",B-009;B-008;B-007;B-010;B-011;B-012,25x70,LONGITUDINAL,2,14,STRAIGHT,560,LONG_CONTINUOUS_B,,DOC,DIRECT_GROUP_BINDING,TAV02A P02,"Direct 2Ø14 line length 560 cm."
T2A-G01-S01,TAV-02A,T2A-G01,"4-3-2-1 | 5-6-7-8",B-009;B-008;B-007;B-010;B-011;B-012,25x70,LONGITUDINAL,2,12,STRAIGHT,"150;150;TOTAL_300",INTERNAL_LOCAL_A,,DOC,DIRECT_GROUP_BINDING,TAV02A P02,"First clearly drawn 2Ø12 local bar with total 300 cm."
T2A-G01-S02,TAV-02A,T2A-G01,"4-3-2-1 | 5-6-7-8",B-009;B-008;B-007;B-010;B-011;B-012,25x70,LONGITUDINAL,2,12,STRAIGHT,"150;150;TOTAL_300",INTERNAL_LOCAL_B,,DOC,DIRECT_GROUP_BINDING,TAV02A P02,"Second clearly drawn 2Ø12 local bar with total 300 cm."
T2A-G01-S03,TAV-02A,T2A-G01,"4-3-2-1 | 5-6-7-8",B-009;B-008;B-007;B-010;B-011;B-012,25x70,LONGITUDINAL,2,14,STRAIGHT,175,LEFT_LOCAL,,DOC,DIRECT_GROUP_BINDING,TAV02A P01,"Direct source 2Ø14 length 175 cm."
T2A-G01-S04,TAV-02A,T2A-G01,"4-3-2-1 | 5-6-7-8",B-009;B-008;B-007;B-010;B-011;B-012,25x70,LONGITUDINAL,2,14,STRAIGHT,175,RIGHT_LOCAL,,DOC,DIRECT_GROUP_BINDING,TAV02A P02,"Direct source 2Ø14 length 175 cm."
T2A-G01-L03,TAV-02A,T2A-G01,"4-3-2-1 | 5-6-7-8",B-009;B-008;B-007;B-010;B-011;B-012,25x70,LONGITUDINAL,2,14,STRAIGHT,1040,LONG_CONTINUOUS_C,,DOC,DIRECT_GROUP_BINDING,TAV02A P01-P02,"Second 2Ø14 line length 1040 cm; layer assignment deferred."
T2A-G01-L04,TAV-02A,T2A-G01,"4-3-2-1 | 5-6-7-8",B-009;B-008;B-007;B-010;B-011;B-012,25x70,LONGITUDINAL,2,14,STRAIGHT,560,LONG_CONTINUOUS_D,,DOC,DIRECT_GROUP_BINDING,TAV02A P02,"Second 2Ø14 line length 560 cm; layer assignment deferred."
T2A-G02-ST,TAV-02A,T2A-G02,"12-11-10-9 | 13-14-15-16",B-048;B-043;B-042;B-050;B-046;B-036,SECTION_BINDING_OPEN,STIRRUP,,6,CLOSED_RECTANGULAR,,TRANSVERSE,15,DOC_WITH_SECTION_BINDING_WATCH,DIRECT_GROUP_BINDING,TAV02A P03,"A 30x65 section sketch with staffe Ø6/15 is adjacent to G02; a 25x70 sketch lies at the following group boundary. Reinforcement is documentary, but section-to-sequence binding is not forced here."
