object_id,tavola_id,section_doc,fixed_u_px,fixed_v_px,coord_status,confidence,source_basis,geometry_policy,supersedes,notes
P01,TAV-05S,40x40,4039,2722,MIS,HIGH,"numero 1 interno; quote esterne 40x40; intersezione fili fissi",SUPPORT_WITH_FACES,v6:P01,"Confermato"
P02,TAV-05S,40x40,4040,3466,MIS,HIGH,"numero 2 interno; quote esterne 40x40; intersezione fili fissi",SUPPORT_WITH_FACES,v6:P02,"Confermato"
P03,TAV-05S,40x40,4044,4268,MIS,HIGH,"numero 3 interno; quote esterne 40x40; intersezione fili fissi",SUPPORT_WITH_FACES,v6:P03,"Confermato"
P04,TAV-05S,40x40,4046,4922,MIS,HIGH,"numero 4 interno; quote esterne 40x40; intersezione fili fissi",SUPPORT_WITH_FACES,v6:P04,"Confermato"
P05,TAV-05S,40x40,3737,4923,MIS,HIGH,"numero 5 interno; quote esterne 40x40; intersezione fili fissi",SUPPORT_WITH_FACES,v6:P05,"Confermato"
P06,TAV-05S,40x40,3733,5583,MIS,HIGH,"numero 6 interno; quote esterne 40x40; intersezione fili fissi",SUPPORT_WITH_FACES,v6:P06,"Confermato"
P07,TAV-05S,40x40,3740,6419,MIS,HIGH,"numero 7 interno; quote esterne 40x40; intersezione fili fissi",SUPPORT_WITH_FACES,v6:P07,"Confermato"
P08,TAV-05S,40x40,3742,7159,MIS,HIGH,"numero 8 interno; quote esterne 40x40; intersezione fili fissi",SUPPORT_WITH_FACES,v6:P08,"Confermato"
P09,TAV-05S,40x40,3152,2721,MIS,HIGH,"numero 9 interno; quote esterne 40x40; intersezione fili fissi",SUPPORT_WITH_FACES,v6:P09,"Confermato"
P10,TAV-05S,30x45,3154,3468,MIS,HIGH,"numero 10 interno; quote esterne 30x45; TAV7 IV ordine",SUPPORT_WITH_FACES,v6:P10,"Confermato"
P11,TAV-05S,30x50,3156,4271,MIS,HIGH,"numero 11 interno; TAV7 IV ordine gruppo 11-14; sezione 30x50",SUPPORT_WITH_FACES,v6:P11,"Corregge precedente 30x45"
P12,TAV-05S,30x45,3160,4785,MIS,HIGH,"numero 12 interno; quote esterne 30x45; TAV7 IV ordine",SUPPORT_WITH_FACES,v6:P12,"Corregge precedente 40x45"
P13,TAV-05S,30x45,2993,5128,MIS,HIGH,"numero 13 interno; quote esterne 30x45; TAV7 IV ordine",SUPPORT_WITH_FACES,v6:P13,"Confermato"
P14,TAV-05S,30x50,2996,5583,MIS,HIGH,"numero 14 interno; TAV7 IV ordine gruppo 11-14; sezione 30x50",SUPPORT_WITH_FACES,v6:P14,"Corregge precedente 30x45"
P15,TAV-05S,30x45,3001,6423,MIS,MEDIUM,"numero 15 interno chiaramente leggibile; quote esterne 30 e 45; TAV7 IV ordine",SUPPORT_WITH_FACES,,"Nuovo sostegno recuperato; coordinate filo da rifinire se necessario"
P16,TAV-05S,40x40,3006,7164,MIS,MEDIUM,"numero 16 interno chiaramente leggibile; quote esterne 40 e 40; TAV7 IV ordine",SUPPORT_WITH_FACES,,"Nuovo sostegno recuperato; coordinate filo da rifinire se necessario"
P17,TAV-05S,40x40,2282,2722,MIS,HIGH,"numero 17 interno; quote esterne 40x40",SUPPORT_WITH_FACES,v6:P17,"Confermato"
P18,TAV-05S,30x110,2329,3468,MIS,HIGH,"numero 18 interno; quote esterne 30x110; TAV7 IV ordine",SUPPORT_WITH_FACES,v6:P18,"Confermato"
P19,TAV-05S,40x40,2411,4109,MIS,HIGH,"numero 19 interno; quote esterne 40x40",SUPPORT_WITH_FACES,v6:P19,"Confermato"
P20,TAV-05S,40x40,2403,4273,MIS,HIGH,"numero 20 interno; quote esterne 40x40; TAV7 IV ordine",SUPPORT_WITH_FACES,v6:P20,"Confermato"
P21,TAV-05S,30x45,2102,5130,MIS,HIGH,"numero 21 interno; quote esterne 30x45; TAV7 IV ordine",SUPPORT_WITH_FACES,v6:P21,"Confermato"
P22,TAV-05S,30x45,2105,5588,MIS,HIGH,"numero 22 interno; quote esterne 30x45",SUPPORT_WITH_FACES,v6:P22,"Confermato"
P22P,TAV-05S,40x40,2107,5744,MIS,MEDIUM,"numero 22' interno distinto da 22; quote esterne 40x40; TAV7 IV ordine",SUPPORT_WITH_FACES,,"Nuovo identificativo canonico per 22 primo"
P23,TAV-05S,30x110,2035,6428,MIS,HIGH,"numero 23 interno; quote esterne 30x110; TAV7 IV ordine",SUPPORT_WITH_FACES,v6:P23,"Confermato"
P24,TAV-05S,40x40,1990,7170,MIS,HIGH,"numero 24 interno; quote esterne 40x40",SUPPORT_WITH_FACES,v6:P24,"Confermato"
P25,TAV-05S,40x40,1738,4112,MIS,HIGH,"numero 25 interno; quote esterne 40x40",SUPPORT_WITH_FACES,v6:P25,"Confermato"
P26,TAV-05S,30x45,1743,5104,MIS,MEDIUM,"numero 26 interno; quote esterne 30x45; TAV7 IV ordine",SUPPORT_WITH_FACES,v6:P26,"Sezione DOC; coordinate filo restano MEDIUM"
P27,TAV-05S,40x40,1748,5758,MIS,HIGH,"numero 27 interno; TAV7 IV ordine 40x40; quota 25 adiacente appartiene alla trave",SUPPORT_WITH_FACES,v6:P27,"Chiusa seconda dimensione: 40x40"
P28,TAV-05S,40x40,1193,4117,MIS,HIGH,"numero 28 interno; quote esterne 40x40",SUPPORT_WITH_FACES,v6:P28,"Confermato"
P29,TAV-05S,30x45,1200,5107,MIS,HIGH,"numero 29 interno; quote esterne 30x45",SUPPORT_WITH_FACES,v6:P29,"Confermato"
P30,TAV-05S,30x110,1204,5834,MIS,HIGH,"numero 30 interno; quote esterne 30x110; TAV7 IV ordine",SUPPORT_WITH_FACES,v6:P30,"Confermato"
P31,TAV-05S,40x40,449,4123,MIS,MEDIUM,"numero 31 interno leggibile; quote esterne 40x40; TAV7 IV ordine",SUPPORT_WITH_FACES,,"Nuovo sostegno recuperato"
P32,TAV-05S,40x40,453,5117,MIS,MEDIUM,"numero 32 interno; quote esterne 40x40",SUPPORT_WITH_FACES,v6:P32,"Confermato"
P33,TAV-05S,40x40,461,5900,MIS,MEDIUM,"numero 33 interno leggibile al controllo ingrandito; quote esterne 40x40; TAV7 IV ordine",SUPPORT_WITH_FACES,v6:P35,"Corregge identificativo precedente P35"
