record_id,tavola_id,support_id,beam_id,beam_axis_ref,attachment_u_px,attachment_v_px,attachment_face,support_fixed_u_px,support_fixed_v_px,offset_du_px,offset_dv_px,analytical_joint_id,etabs_connection_policy,status,confidence,supersedes,notes
ATT-P18-E,TAV-05S,P18,T05-BEAM-P18-E-01,"filo orizzontale reale della trave",2413,3468,E,2329,3468,84,0,P18-F,"FRAME_COLUMN + FRAME_JOINT_OFFSET",MIS,HIGH,v4:ATT-P18-E,"Confermato; cornicione escluso"
ATT-P18-N,TAV-05S,P18,T05-BEAM-P18-N-01,"filo della trave proveniente da nord",2261,3443,N,2329,3468,-68,-25,P18-F,"FRAME_COLUMN + FRAME_JOINT_OFFSET",MIS,MEDIUM,v4:ATT-P18-N,"Filo distinto dalla trave sud"
ATT-P18-S,TAV-05S,P18,T05-BEAM-P18-S-01,"filo della trave uscente a sud",2391,3489,S,2329,3468,62,21,P18-F,"FRAME_COLUMN + FRAME_JOINT_OFFSET",MIS,MEDIUM,v4:ATT-P18-S,"Filo distinto dalla trave nord"
ATT-P23-E,TAV-05S,P23,T05-BEAM-P23-E-01,"filo orizzontale reale della trave",2118,6428,E,2035,6428,83,0,P23-F,"FRAME_COLUMN + FRAME_JOINT_OFFSET",MIS,HIGH,v4:ATT-P23-E,"Confermato; cornicione escluso"
ATT-P23-N,TAV-05S,P23,T05-BEAM-P23-N-01,"filo della trave proveniente da nord",2092,6405,N,2035,6428,57,-23,P23-F,"FRAME_COLUMN + FRAME_JOINT_OFFSET",MIS,MEDIUM,v4:ATT-P23-N,"Attacco distinto"
ATT-P23-S,TAV-05S,P23,T05-BEAM-P23-S-01,"filo della trave uscente a sud",1967,6450,S,2035,6428,-68,22,P23-F,"FRAME_COLUMN + FRAME_JOINT_OFFSET",MIS,MEDIUM,v4:ATT-P23-S,"Attacco distinto"
ATT-P30-E,TAV-05S,P30,T05-BEAM-P30-E-01,"filo della trave orizzontale a est",1228,5786,E,1204,5834,24,-48,P30-F,"FRAME_COLUMN + FRAME_JOINT_OFFSET",MIS,MEDIUM,v4:ATT-P30-E,"Cornicione escluso"
ATT-P30-W,TAV-05S,P30,T05-BEAM-P30-W-01,"filo della trave orizzontale a ovest",1177,5902,W,1204,5834,-27,68,P30-F,"FRAME_COLUMN + FRAME_JOINT_OFFSET",MIS,MEDIUM,v4:ATT-P30-W,"Cornicione escluso"
ATT-P25-W,TAV-05S,P25,T05-BEAM-P25-W-01,"filo orizzontale della trave coincidente con filo fisso Y del pilastro",1706,4112,W,1738,4112,-32,0,P25-F,"FRAME_COLUMN; BEAM_AXIS_COLLINEAR; PHYSICAL_END_AT_COLUMN_FACE",MIS,HIGH,v4:ATT-P25-W,"Trave passante sul filo del pilastro"
ATT-P25-E,TAV-05S,P25,T05-BEAM-P25-E-01,"filo orizzontale della trave coincidente con filo fisso Y del pilastro",1770,4112,E,1738,4112,32,0,P25-F,"FRAME_COLUMN; BEAM_AXIS_COLLINEAR; PHYSICAL_END_AT_COLUMN_FACE",MIS,HIGH,v4:ATT-P25-E,"Faccia opposta dello stesso allineamento"
ATT-P27-W,TAV-05S,P27,T05-BEAM-P27-W-01,"filo orizzontale della trave coincidente con filo fisso Y del pilastro",1715,5758,W,1748,5758,-33,0,P27-F,"FRAME_COLUMN; BEAM_AXIS_COLLINEAR; PHYSICAL_END_AT_COLUMN_FACE",MIS,HIGH,v4:ATT-P27-W,"Nessuna eccentricita' trasversale"
ATT-P27-E,TAV-05S,P27,T05-BEAM-P27-E-01,"filo orizzontale della trave coincidente con filo fisso Y del pilastro",1780,5758,E,1748,5758,32,0,P27-F,"FRAME_COLUMN; BEAM_AXIS_COLLINEAR; PHYSICAL_END_AT_COLUMN_FACE",MIS,HIGH,v4:ATT-P27-E,"Faccia opposta dello stesso allineamento"
ATT-P19-W,TAV-05S,P19,T05-BEAM-P19-W-01,"asse mediano misurato fra i due bordi paralleli della trave a ovest",2369,4097,W,2411,4109,-42,-12,P19-F,"FRAME_COLUMN + FRAME_JOINT_OFFSET",MIS,HIGH,,"Trave reale a ovest; asse circa 12 px sopra il filo fisso Y del pilastro"
ATT-P20-E,TAV-05S,P20,T05-BEAM-P20-E-01,"asse mediano misurato fra i due bordi paralleli della trave a est",2436,4271,E,2403,4273,33,-2,P20-F,"FRAME_COLUMN; BEAM_AXIS_NEAR_COLLINEAR; PHYSICAL_END_AT_COLUMN_FACE",MIS,HIGH,,"Quasi coincidente col filo fisso; offset trasversale residuo circa 2 px"
ATT-P21-E,TAV-05S,P21,T05-BEAM-P21-E-01,"asse mediano misurato fra i due bordi della banda di trave a est",2127,5116,E,2102,5130,25,-14,P21-F,"FRAME_COLUMN + FRAME_JOINT_OFFSET",MIS,MEDIUM,,"Sezione pilastro 30x45; il filo trave e' circa 14 px sopra il filo fisso Y"
ATT-P22-E,TAV-05S,P22,T05-BEAM-P22-E-01,"asse mediano misurato fra i due bordi della banda di trave a est",2130,5591,E,2105,5588,25,3,P22-F,"FRAME_COLUMN; BEAM_AXIS_NEAR_COLLINEAR; PHYSICAL_END_AT_COLUMN_FACE",MIS,HIGH,,"Asse trave quasi coincidente col filo fisso Y; scarto circa 3 px"
