object_id,tavola_id,section_doc,fixed_u_px,fixed_v_px,coord_status,confidence,source_basis,geometry_policy,supersedes,notes
P01,TAV-05S,40x40,4039,2722,MIS,HIGH,"numero 1 interno; quote esterne 40x40; intersezione fili fissi",SUPPORT_WITH_FACES,v5:P01,"Sezione attribuita con grammatica quote esterne"
P02,TAV-05S,40x40,4040,3466,MIS,HIGH,"numero 2 interno; quote esterne 40x40; intersezione fili fissi",SUPPORT_WITH_FACES,v5:P02,"Confermato"
P03,TAV-05S,40x40,4044,4268,MIS,HIGH,"numero 3 interno; quote esterne 40x40; intersezione fili fissi",SUPPORT_WITH_FACES,v5:P03,"Confermato"
P04,TAV-05S,40x40,4046,4922,MIS,HIGH,"numero 4 interno; quote esterne 40x40; intersezione fili fissi",SUPPORT_WITH_FACES,v5:P04,"Confermato"
P05,TAV-05S,40x40,3737,4923,MIS,HIGH,"numero 5 interno; quote esterne 40x40; intersezione fili fissi",SUPPORT_WITH_FACES,v5:P05,"Confermato"
P06,TAV-05S,40x40,3733,5583,MIS,HIGH,"numero 6 interno; quote esterne 40x40; intersezione fili fissi",SUPPORT_WITH_FACES,v5:P06,"Confermato"
P07,TAV-05S,40x40,3740,6419,MIS,HIGH,"numero 7 interno; quote esterne 40x40; intersezione fili fissi",SUPPORT_WITH_FACES,v5:P07,"Confermato"
P08,TAV-05S,40x40,3742,7159,MIS,HIGH,"numero 8 interno; quote esterne 40x40; intersezione fili fissi",SUPPORT_WITH_FACES,v5:P08,"Confermato"
P09,TAV-05S,40x40,3152,2721,MIS,HIGH,"numero 9 interno; quote esterne 40x40; intersezione fili fissi",SUPPORT_WITH_FACES,v5:P09,"Confermato"
P10,TAV-05S,30x45,3154,3468,MIS,HIGH,"numero 10 interno; quote esterne 30x45; intersezione fili fissi",SUPPORT_WITH_FACES,v5:P10,"Confermato"
P11,TAV-05S,30x45,3156,4271,MIS,HIGH,"numero 11 interno; quote esterne 30x45; intersezione fili fissi",SUPPORT_WITH_FACES,v5:P11,"Confermato"
P12,TAV-05S,40x45,3160,4785,MIS,MEDIUM,"numero 12 interno; quota 45 chiara e seconda quota letta 40; intersezione fili fissi",SUPPORT_WITH_FACES,v5:P12,"Sezione mantenuta 40x45 ma confidence ridotta a MEDIUM in attesa doppio controllo"
P13,TAV-05S,30x45,2993,5128,MIS,HIGH,"numero 13 interno; quote esterne 30x45; intersezione fili fissi",SUPPORT_WITH_FACES,v5:P13,"Confermato"
P14,TAV-05S,30x45,2996,5583,MIS,HIGH,"numero 14 interno; quote esterne 30x45; intersezione fili fissi",SUPPORT_WITH_FACES,v5:P14,"Confermato"
P17,TAV-05S,40x40,2282,2722,MIS,HIGH,"numero 17 interno; quote esterne 40x40; intersezione fili fissi",SUPPORT_WITH_FACES,v5:P17,"Confermato"
P18,TAV-05S,30x110,2329,3468,MIS,HIGH,"numero 18 interno; quote esterne 30x110; intersezione fili fissi",SUPPORT_WITH_FACES,v5:P18,"Confermato"
P19,TAV-05S,40x40,2411,4109,MIS,HIGH,"numero 19 interno; quote esterne 40x40; intersezione fili fissi",SUPPORT_WITH_FACES,v5:P19,"Confermato"
P20,TAV-05S,40x40,2403,4273,MIS,HIGH,"numero 20 interno; quote esterne 40x40; intersezione fili fissi",SUPPORT_WITH_FACES,v5:P20,"Confermato"
P21,TAV-05S,30x45,2102,5130,MIS,HIGH,"numero 21 interno; quote esterne 30x45; intersezione fili fissi",SUPPORT_WITH_FACES,v5:P21,"Confermato"
P22,TAV-05S,30x45,2105,5588,MIS,HIGH,"numero 22 interno; quote esterne 30x45; intersezione fili fissi",SUPPORT_WITH_FACES,v5:P22,"Confermato"
P23,TAV-05S,30x110,2035,6428,MIS,HIGH,"numero 23 interno; quote esterne 30x110; intersezione fili fissi",SUPPORT_WITH_FACES,v5:P23,"Confermato"
P24,TAV-05S,40x40,1990,7170,MIS,HIGH,"numero 24 interno; quote esterne 40x40; intersezione fili fissi",SUPPORT_WITH_FACES,v5:P24,"Confermato"
P25,TAV-05S,40x40,1738,4112,MIS,HIGH,"numero 25 interno; quote esterne 40x40; intersezione fili fissi",SUPPORT_WITH_FACES,v5:P25,"Quota 120 adiacente attribuita alla trave, non al pilastro"
